run,I,n_layers,n_params,time_ls,yerr_ls_train,cost_ls_train,yerr_ls_test,cost_ls_test,time_bl,yerr_bl_train,cost_bl_train,yerr_bl_test,cost_bl_test,time_nm,yerr_nm_train,cost_nm_train,yerr_nm_test,cost_nm_test,time_gd,yerr_gd_train,cost_gd_train,yerr_gd_test,cost_gd_test
1,2,0,10,0.1950838565826416,8.250225,-324.181961406072,9.244302,-124.2386880350113,0.21367096900939941,20.826900482177734,-336.30198360443114,23.00566864013672,-136.55916070461274,88.84066390991211,21.007858276367188,-336.17961659113564,23.269895553588867,-137.01564493656159,600.0089709758759,21.768702,-336.2259856096903,24.619602,-136.95684890270232
1,10,0,50,0.03136181831359863,8.551682,-736.4131444213291,9.941535,-462.7457067027688,1.270056962966919,23.171363830566406,-801.7984768732886,27.660999298095703,-516.3909928096831,629.3921318054199,22.7540225982666,-802.8993287532031,26.232959747314453,-522.1474284231663,600.1226599216461,23.646513,-802.395080700467,27.005394,-520.9424457323552
1,20,0,100,0.06161808967590332,8.894434,-2108.929360895157,10.448305,-1496.6517953044176,2.991708993911743,23.53695297241211,-2240.0882113572457,25.612871170043945,-1640.0177199679613,658.7180161476135,22.30742645263672,-2234.1752278630934,24.342987060546875,-1626.8598909693956,600.1753900051117,24.111828,-2239.694095960309,25.71329,-1636.2910959035157
1,50,0,250,0.1441640853881836,8.909662,-5024.036927483231,9.546358,-2925.8215795217457,9.52224588394165,24.093830108642578,-5362.945046883623,26.706846237182617,-3240.380942630172,758.5924530029297,9.494646072387695,-5145.022348935753,10.206857681274414,-3049.11795382604,600.1581220626831,27.244383,-5345.823187149117,27.158037,-3213.614886384755
1,100,0,500,0.3097081184387207,8.764417,-9695.267554263373,10.031203,-6573.305822074712,24.209544897079468,23.01841163635254,-10358.269009741247,23.41209602355957,-7321.362894107998,NaN,NaN,NaN,NaN,NaN,600.1009340286255,27.927895,-10319.003838030398,52.065002,-7259.455635491609
1,500,0,2500,1.6355419158935547,8.831616,-46292.272910485815,10.008232,-28230.513142821044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,601.4325029850006,40.32738,-49431.221745608695,98.69807,-31326.223279557078
1,1000,0,5000,3.228050947189331,8.805433,-97536.83130353525,10.0243435,-62875.47707065091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,608.7835359573364,22.138405,-103921.07932403163,22.053102,-69198.45498771832
2,2,0,10,0.00875091552734375,8.341084,-211.83655255034566,10.251592,-131.983207116127,0.18417787551879883,22.999271392822266,-224.1790967371563,29.26668930053711,-140.5225008058548,87.64251899719238,21.898162841796875,-224.90675429582595,27.167173385620117,-140.60190723896028,600.1219081878662,21.27235,-224.99291997522116,26.244654,-140.52980424404143
2,10,0,50,0.031033039093017578,8.915832,-900.0342574758331,10.11517,-465.00295382127166,1.2976348400115967,23.891427993774414,-967.4149020619194,25.145801544189453,-545.8694238004089,628.5349898338318,23.56237030029297,-967.0943163866798,22.422273635864258,-546.4651707276702,600.0737869739532,24.761433,-966.8313364643852,22.630878,-546.094685292989
2,20,0,100,0.0630650520324707,8.844043,-1197.5374458458523,9.598461,-976.3284257723391,3.6075289249420166,23.88602066040039,-1334.6687194635472,24.7703800201416,-1117.1990843306482,658.8642501831055,22.266664505004883,-1329.2091781100135,22.829862594604492,-1113.8333734476566,600.1150140762329,25.242844,-1332.9860718755424,26.22455,-1114.4813909992577
2,50,0,250,0.18108820915222168,8.71889,-5580.888970694592,9.935804,-4342.476976431906,9.482100009918213,23.634967803955078,-5911.464264879028,25.281484603881836,-4702.090008322745,759.5309021472931,9.315836906433105,-5702.9616614485285,10.371798515319824,-4474.40678662926,600.1090850830078,24.858974,-5904.742665159852,25.14597,-4690.027122562527
2,100,0,500,0.3233978748321533,8.779659,-10584.114673407525,10.395058,-6718.329578019083,24.284507036209106,23.44791030883789,-11249.830104864637,25.64344024658203,-7401.7534542496505,NaN,NaN,NaN,NaN,NaN,600.9461970329285,33.847218,-11168.59312991798,49.91041,-7298.629970821738
2,500,0,2500,1.5929601192474365,8.784219,-50850.773091002404,10.0203705,-34598.967181602566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,601.4436140060425,30.483713,-54044.562912663125,53.76874,-37862.37238817453
2,1000,0,5000,3.312690019607544,8.834122,-94942.15564593136,10.153828,-62127.35572541147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,609.612270116806,23.473194,-100955.69404317255,26.620312,-68099.33020049677
3,2,0,10,0.007931947708129883,8.551474,-310.4075070556005,12.410669,-83.92464761033654,0.18467116355895996,22.981243133544922,-323.57968856334685,25.621479034423828,-97.43794556871056,90.02034401893616,22.5252628326416,-323.5297481616338,28.071611404418945,-97.31937633767724,600.1426160335541,22.319204,-323.5238690741857,28.925348,-97.30924014344811
